state,state_map,district,district_map
Madhya Pradesh,Madhya Pradesh,Sehore,Sehore
Madhya Pradesh,Madhya Pradesh,Seoni,Seoni
Madhya Pradesh,Madhya Pradesh,Shahdol,Shahdol
Madhya Pradesh,Madhya Pradesh,Shajapur,Shajapur
Madhya Pradesh,Madhya Pradesh,Sheopur,Sheopur
Madhya Pradesh,Madhya Pradesh,Shivpuri,Shivpuri
Madhya Pradesh,Madhya Pradesh,Sidhi,Sidhi
Madhya Pradesh,Madhya Pradesh,Singrauli,Singrauli
Madhya Pradesh,Madhya Pradesh,Tikamgarh,Tikamgarh
Madhya Pradesh,Madhya Pradesh,Ujjain,Ujjain
Madhya Pradesh,Madhya Pradesh,Umaria,Umaria
Madhya Pradesh,Madhya Pradesh,Vidisha,Vidisha
Madhya Pradesh,Madhya Pradesh,West Nimar,Khargone
Maharashtra,Maharashtra,Ahmadnagar,Ahmed Nagar
Maharashtra,Maharashtra,Ahmed Nagar,Ahmed Nagar
Maharashtra,Maharashtra,Akola,Akola
Maharashtra,Maharashtra,Amravati,Amravati
Maharashtra,Maharashtra,Aurangabad,Chhatrapati Sambhajinagar
Maharashtra,Maharashtra,Beed,Beed
Maharashtra,Maharashtra,Bhandara,Bhandara
Maharashtra,Maharashtra,Bid,Beed
Maharashtra,Maharashtra,Buldana,Buldhana
Maharashtra,Maharashtra,Buldhana,Buldhana
Maharashtra,Maharashtra,Chandrapur,Chandrapur
Maharashtra,Maharashtra,Chatrapati Sambhaji Nagar,Chhatrapati Sambhajinagar
Maharashtra,Maharashtra,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar
Maharashtra,Maharashtra,Dharashiv,Dharashiv
Maharashtra,Maharashtra,Dhule,Dhule
Maharashtra,Maharashtra,Gadchiroli,Gadchiroli
Maharashtra,Maharashtra,Gondia,Gondia
Maharashtra,Maharashtra,Gondiya,Gondia
Maharashtra,Maharashtra,Gondiya *,Gondia
Maharashtra,Maharashtra,Hingoli,Hingoli
Maharashtra,Maharashtra,Hingoli *,Hingoli
Maharashtra,Maharashtra,Jalgaon,Jalgaon
Maharashtra,Maharashtra,Jalna,Jalna
Maharashtra,Maharashtra,Kolhapur,Kolhapur
Maharashtra,Maharashtra,Latur,Latur
Maharashtra,Maharashtra,Mumbai,Mumbai City
Maharashtra,Maharashtra,Mumbai City,Mumbai City
Maharashtra,Maharashtra,Mumbai Suburban,Mumbai Suburban
Maharashtra,Maharashtra,Mumbai( Sub Urban ),Mumbai Suburban
Maharashtra,Maharashtra,Nagpur,Nagpur
Maharashtra,Maharashtra,Nanded,Nanded
Maharashtra,Maharashtra,Nandurbar,Nandurbar
Maharashtra,Maharashtra,Nandurbar *,Nandurbar
Maharashtra,Maharashtra,Nashik,Nashik
Maharashtra,Maharashtra,Osmanabad,Dharashiv
Maharashtra,Maharashtra,Palghar,Palghar
Maharashtra,Maharashtra,Parbhani,Parbhani
Maharashtra,Maharashtra,Pune,Pune
Maharashtra,Maharashtra,Raigad,Raigad
Maharashtra,Maharashtra,Raigarh,Raigad
Maharashtra,Maharashtra,Raigarh(MH),Raigad
Maharashtra,Maharashtra,Ratnagiri,Ratnagiri
Maharashtra,Maharashtra,Sangli,Sangli
Maharashtra,Maharashtra,Satara,Satara
Maharashtra,Maharashtra,Sindhudurg,Sindhudurg
Maharashtra,Maharashtra,Solapur,Solapur
Maharashtra,Maharashtra,Thane,Thane
Maharashtra,Maharashtra,Wardha,Wardha
Maharashtra,Maharashtra,Washim,Washim
Maharashtra,Maharashtra,Washim *,Washim
Maharashtra,Maharashtra,Yavatmal,Yavatmal
Manipur,Manipur,Bishnupur,Bishnupur
Manipur,Manipur,Chandel,Chandel
Manipur,Manipur,Churachandpur,Churachandpur
Manipur,Manipur,Imphal East,Imphal East
Manipur,Manipur,Imphal West,Imphal West
Manipur,Manipur,Jiribam,Jiribam
Manipur,Manipur,Kakching,Kakching
Manipur,Manipur,Senapati,Senapati
Manipur,Manipur,Tamenglong,Tamenglong
Manipur,Manipur,Thoubal,Thoubal
Manipur,Manipur,Ukhrul,Ukhrul
Meghalaya,Meghalaya,East Garo Hills,East Garo Hills
Meghalaya,Meghalaya,East Jaintia Hills,East Jaintia Hills
Meghalaya,Meghalaya,East Khasi Hills,East Khasi Hills
Meghalaya,Meghalaya,Eastern West Khasi Hills,Eastern West Khasi Hills
Meghalaya,Meghalaya,Jaintia Hills,East Jaintia Hills
Meghalaya,Meghalaya,North Garo Hills,North Garo Hills
Meghalaya,Meghalaya,Ri Bhoi,Ri Bhoi
Meghalaya,Meghalaya,South Garo Hills,South Garo Hills
Meghalaya,Meghalaya,South West Garo Hills,South West Garo Hills
Meghalaya,Meghalaya,South West Khasi Hills,South West Khasi Hills
Meghalaya,Meghalaya,West Garo Hills,West Garo Hills
Meghalaya,Meghalaya,West Jaintia Hills,West Jaintia Hills
Meghalaya,Meghalaya,West Khasi Hills,West Khasi Hills
Mizoram,Mizoram,Aizawl,Aizawl
Mizoram,Mizoram,Champhai,Champhai
Mizoram,Mizoram,Hnahthial,Hnahthial
Mizoram,Mizoram,Khawzawl,Khawzawl
Mizoram,Mizoram,Kolasib,Kolasib
Mizoram,Mizoram,Lawngtlai,Lawngtlai
Mizoram,Mizoram,Lunglei,Lunglei
Mizoram,Mizoram,Mamit,Mamit
Mizoram,Mizoram,Mammit,Mamit
Mizoram,Mizoram,Saiha,Saiha
Mizoram,Mizoram,Saitual,Saitual
Mizoram,Mizoram,Serchhip,Serchhip
Nagaland,Nagaland,Chumukedima,Chumukedima
Nagaland,Nagaland,Dimapur,Dimapur
Nagaland,Nagaland,Kiphire,Kiphire
Nagaland,Nagaland,Kohima,Kohima
Nagaland,Nagaland,Longleng,Longleng
Nagaland,Nagaland,Meluri,Meluri
Nagaland,Nagaland,Mokokchung,Mokokchung
Nagaland,Nagaland,Mon,Mon
Nagaland,Nagaland,Niuland,Niuland
Nagaland,Nagaland,Noklak,Noklak
Nagaland,Nagaland,Peren,Peren
Nagaland,Nagaland,Phek,Phek
Nagaland,Nagaland,Shamator,Shamator
Nagaland,Nagaland,Tseminyu,Tseminyu
Nagaland,Nagaland,Tuensang,Tuensang
Nagaland,Nagaland,Wokha,Wokha
Nagaland,Nagaland,Zunheboto,Zunheboto
ODISHA,Odisha,NUAPADA,Nuapada
Odisha,Odisha,ANUGUL,Angul 
Odisha,Odisha,Angul,Angul
Odisha,Odisha,BALANGIR,Balangir
Odisha,Odisha,Baleshwar,Baleswar
Odisha,Odisha,Baleswar,Baleswar
Odisha,Odisha,Bargarh,Bargarh
Odisha,Odisha,Baudh,Boudh
Odisha,Odisha,Bhadrak,Bhadrak
Odisha,Odisha,Boudh,Boudh
Odisha,Odisha,Cuttack,Cuttack
Odisha,Odisha,Debagarh,Deogarh
Odisha,Odisha,Dhenkanal,Dhenkanal
Odisha,Odisha,Gajapati,Gajapati
Odisha,Odisha,Ganjam,Ganjam
Odisha,Odisha,JAJPUR,Jajpur
Odisha,Odisha,Jagatsinghapur,Jagatsinghpur
Odisha,Odisha,Jagatsinghpur,Jagatsinghpur
Odisha,Odisha,Jajapur,Jajpur
Odisha,Odisha,Jharsuguda,Jharsuguda
Odisha,Odisha,Kalahandi,Kalahandi
Odisha,Odisha,Kandhamal,Kandhamal
Odisha,Odisha,Kendrapara,Kendrapara
Odisha,Odisha,Kendujhar,Keonjhar
Odisha,Odisha,Khorda,Khordha
Odisha,Odisha,Khordha,Khordha
Odisha,Odisha,Koraput,Koraput
Odisha,Odisha,Malkangiri,Malkangiri
Odisha,Odisha,Mayurbhanj,Mayurbhanj
Odisha,Odisha,Nabarangapur,Nabarangapur
Odisha,Odisha,Nayagarh,Nayagarh
Odisha,Odisha,Puri,Puri
Odisha,Odisha,Rayagada,Rayagada
Odisha,Odisha,Sambalpur,Sambalpur
Odisha,Odisha,Sonapur,Sonepur
Odisha,Odisha,Subarnapur,Sonepur
Odisha,Odisha,Sundargarh,Sundargarh
Odisha,Odisha,Sundergarh,Sundargarh
Pondicherry,Tamil Nadu,Cuddalore,Cuddalore
Pondicherry,Puducherry,Karaikal,Karaikal
Pondicherry,Puducherry,Pondicherry,Puducherry
Pondicherry,Tamil Nadu,Viluppuram,Viluppuram
Pondicherry,Puducherry,Yanam,Yanam
Puducherry,Puducherry,Karaikal,Karaikal
Puducherry,Puducherry,Pondicherry,Puducherry
Puducherry,Puducherry,Puducherry,Puducherry
Puducherry,Puducherry,Yanam,Yanam
Punjab,Punjab,Amritsar,Amritsar
Punjab,Punjab,Barnala,Barnala
Punjab,Punjab,Bathinda,Bathinda
Punjab,Punjab,Faridkot,Faridkot
Punjab,Punjab,Fatehgarh Sahib,Fatehgarh Sahib
Punjab,Punjab,Fazilka,Fazilka
Punjab,Punjab,Ferozepur,Ferozepur
Punjab,Punjab,Firozpur,Ferozepur
Punjab,Punjab,Gurdaspur,Gurdaspur
Punjab,Punjab,Hoshiarpur,Hoshiarpur
Punjab,Punjab,Jalandhar,Jalandhar
Punjab,Punjab,Kapurthala,Kapurthala
Punjab,Punjab,Ludhiana,Ludhiana
Punjab,Punjab,Malerkotla,Malerkotla
Punjab,Punjab,Mansa,Mansa
Punjab,Punjab,Moga,Moga
Punjab,Punjab,Muktsar,Sri Muktsar Sahib
Punjab,Punjab,Nawanshahr,SBS Nagar
Punjab,Punjab,Pathankot,Pathankot
Punjab,Punjab,Patiala,Patiala
Punjab,Punjab,Rupnagar,Rupnagar
Punjab,Punjab,S.A.S Nagar(Mohali),S.A.S Nagar(Mohali)
Punjab,Punjab,SAS Nagar (Mohali),SAS Nagar (Mohali)
Punjab,Punjab,Sangrur,Sangrur
Punjab,Punjab,Shaheed Bhagat Singh Nagar,SBS Nagar
Punjab,Punjab,Sri Muktsar Sahib,Sri Muktsar Sahib
Punjab,Punjab,Tarn Taran,Tarn Taran
Rajasthan,Rajasthan,Ajmer,Ajmer
Rajasthan,Rajasthan,Alwar,Alwar
Rajasthan,Rajasthan,Banswara,Banswara
Rajasthan,Rajasthan,Baran,Baran
Rajasthan,Rajasthan,Barmer,Barmer
Rajasthan,Rajasthan,Bharatpur,Bharatpur
Rajasthan,Rajasthan,Bhilwara,Bhilwara
Rajasthan,Rajasthan,Bikaner,Bikaner
Rajasthan,Rajasthan,Bundi,Bundi
Rajasthan,Rajasthan,Chittaurgarh,Chittorgarh
Rajasthan,Rajasthan,Chittorgarh,Chittorgarh
Rajasthan,Rajasthan,Churu,Churu
Rajasthan,Rajasthan,Dausa,Dausa
Rajasthan,Rajasthan,Deeg,Deeg
Rajasthan,Rajasthan,Deeg ,Deeg
Rajasthan,Rajasthan,Dhaulpur,Dholpur
Rajasthan,Rajasthan,Dholpur,Dholpur
Rajasthan,Rajasthan,Dungarpur,Dungarpur
Rajasthan,Rajasthan,Ganganagar,Ganganagar
Rajasthan,Rajasthan,Hanumangarh,Hanumangarh
Rajasthan,Rajasthan,Jaipur,Jaipur
Rajasthan,Rajasthan,Jaisalmer,Jaisalmer
Rajasthan,Rajasthan,Jalor,Jalor
Rajasthan,Rajasthan,Jhalawar,Jhalawar
Rajasthan,Rajasthan,Jhunjhunu,Jhunjhunu
Rajasthan,Rajasthan,Jhunjhunun,Jhunjhunu
Rajasthan,Rajasthan,Jodhpur,Jodhpur
Rajasthan,Rajasthan,Karauli,Karauli
Rajasthan,Rajasthan,Kota,Kota
Rajasthan,Rajasthan,Nagaur,Nagaur
Rajasthan,Rajasthan,Pali,Pali
Rajasthan,Rajasthan,Pratapgarh,Pratapgarh
Rajasthan,Rajasthan,Rajsamand,Rajsamand
Rajasthan,Rajasthan,Sawai Madhopur,Sawai Madhopur
Rajasthan,Rajasthan,Sikar,Sikar
Rajasthan,Rajasthan,Sirohi,Sirohi
Rajasthan,Rajasthan,Tonk,Tonk
Rajasthan,Rajasthan,Udaipur,Udaipur
Sikkim,Sikkim,East,East Sikkim
Sikkim,Sikkim,East Sikkim,East Sikkim
Sikkim,Sikkim,Namchi,Namchi
Sikkim,Sikkim,North,North Sikkim
Sikkim,Sikkim,North Sikkim,North Sikkim
Sikkim,Sikkim,South,South Sikkim
Sikkim,Sikkim,South Sikkim,South Sikkim
Sikkim,Sikkim,West,West Sikkim
Sikkim,Sikkim,West Sikkim,West Sikkim
Tamil Nadu,Tamil Nadu,Ariyalur,Ariyalur
Tamil Nadu,Tamil Nadu,Chengalpattu,Chengalpattu
Tamil Nadu,Tamil Nadu,Chennai,Chennai
Tamil Nadu,Tamil Nadu,Coimbatore,Coimbatore
Tamil Nadu,Tamil Nadu,Cuddalore,Cuddalore
Tamil Nadu,Tamil Nadu,Dharmapuri,Dharmapuri
Tamil Nadu,Tamil Nadu,Dindigul,Dindigul
Tamil Nadu,Tamil Nadu,Erode,Erode
Tamil Nadu,Tamil Nadu,Kallakurichi,Kallakurichi
Tamil Nadu,Tamil Nadu,Kancheepuram,Kancheepuram
Tamil Nadu,Tamil Nadu,Kanniyakumari,Kanniyakumari
Tamil Nadu,Tamil Nadu,Kanyakumari,Kanniyakumari
Tamil Nadu,Tamil Nadu,Karur,Karur
Tamil Nadu,Tamil Nadu,Krishnagiri,Krishnagiri
Tamil Nadu,Tamil Nadu,Madurai,Madurai
Tamil Nadu,Tamil Nadu,Mayiladuthurai,Mayiladuthurai
Tamil Nadu,Tamil Nadu,Nagapattinam,Nagapattinam
Tamil Nadu,Tamil Nadu,Namakkal,Namakkal
Tamil Nadu,Tamil Nadu,Perambalur,Perambalur
Tamil Nadu,Tamil Nadu,Pudukkottai,Pudukkottai
Tamil Nadu,Tamil Nadu,Ramanathapuram,Ramanathapuram
Tamil Nadu,Tamil Nadu,Ranipet,Ranipet
Tamil Nadu,Tamil Nadu,Salem,Salem
Tamil Nadu,Tamil Nadu,Sivaganga,Sivaganga
Tamil Nadu,Tamil Nadu,Tenkasi,Tenkasi
Tamil Nadu,Tamil Nadu,Thanjavur,Thanjavur
Tamil Nadu,Tamil Nadu,The Nilgiris,Niligiris
Tamil Nadu,Tamil Nadu,Theni,Theni
Tamil Nadu,Tamil Nadu,Thiruvallur,Tiruvallur
Tamil Nadu,Tamil Nadu,Thiruvarur,Thiruvarur
Tamil Nadu,Tamil Nadu,Thoothukkudi,Thoothukkudi
Tamil Nadu,Tamil Nadu,Tiruchirappalli,Tiruchirappalli
Tamil Nadu,Tamil Nadu,Tirunelveli,Tirunelveli
Tamil Nadu,Tamil Nadu,Tirupathur,Tirupathur
Tamil Nadu,Tamil Nadu,Tirupattur,Tirupathur
Tamil Nadu,Tamil Nadu,Tiruppur,Tiruppur
Tamil Nadu,Tamil Nadu,Tiruvallur,Tiruvallur
Tamil Nadu,Tamil Nadu,Tiruvannamalai,Tiruvannamalai
Tamil Nadu,Tamil Nadu,Tuticorin,Thoothukkudi
Tamil Nadu,Tamil Nadu,Vellore,Vellore
Tamil Nadu,Tamil Nadu,Villupuram,Viluppuram
Tamil Nadu,Tamil Nadu,Viluppuram,Viluppuram
Tamil Nadu,Tamil Nadu,Virudhunagar,Virudhunagar
Telangana,Telangana,Adilabad,Adilabad
Telangana,Telangana,Bhadradri Kothagudem,Bhadradri Kothagudem
Telangana,Telangana,Hanumakonda,Hanumakonda
Telangana,Telangana,Hyderabad,Hyderabad
Telangana,Telangana,Jagitial,Jagitial
Telangana,Telangana,Jangaon,Jangaon
Telangana,Telangana,Jangoan,Jangaon
Telangana,Telangana,Jayashankar Bhupalpally,Jayashankar Bhupalpally
Telangana,Telangana,Jogulamba Gadwal,Jogulamba Gadwal
Telangana,Telangana,K.v. Rangareddy,Rangareddy
Telangana,Telangana,Kamareddy,Kamareddy
Telangana,Telangana,Karimnagar,Karimnagar
Telangana,Telangana,Khammam,Khammam
Telangana,Telangana,Komaram Bheem,Komaram Bheem Asifabad
Telangana,Telangana,Mahabubabad,Mahabubabad
Telangana,Telangana,Mahabubnagar,Mahabubnagar
Telangana,Telangana,Mancherial,Mancherial
Telangana,Telangana,Medak,Medak
Telangana,Telangana,Medchal-malkajgiri,Medchal-malkajgiri
Telangana,Telangana,Medchal?malkajgiri,Medchal-malkajgiri
Telangana,Telangana,Medchal−malkajgiri,Medchal-malkajgiri
Telangana,Telangana,Mulugu,Mulugu
Telangana,Telangana,Nagarkurnool,Nagarkurnool
Telangana,Telangana,Nalgonda,Nalgonda
Telangana,Telangana,Narayanpet,Narayanpet
Telangana,Telangana,Nirmal,Nirmal
Telangana,Telangana,Nizamabad,Nizamabad
Telangana,Telangana,Peddapalli,Peddapalli
Telangana,Telangana,Rajanna Sircilla,Rajanna Sircilla
Telangana,Telangana,Rangareddy,Rangareddy
Telangana,Telangana,Sangareddy,Sangareddy
Telangana,Telangana,Siddipet,Siddipet
Telangana,Telangana,Suryapet,Suryapet
Telangana,Telangana,Vikarabad,Vikarabad
Telangana,Telangana,Wanaparthy,Wanaparthy
Telangana,Telangana,Warangal,Warangal
Telangana,Telangana,Warangal (urban),Hanumakonda
Telangana,Telangana,Warangal Rural,Warangal
Telangana,Telangana,Warangal Urban,Hanumakonda
Telangana,Telangana,Yadadri.,Yadadri Bhuvanagiri
Tripura,Tripura,Dhalai,Dhalai
Tripura,Tripura,Dhalai  *,Dhalai
Tripura,Tripura,Gomati,Gomati
Tripura,Tripura,Khowai,Khowai
Tripura,Tripura,North Tripura,North Tripura
Tripura,Tripura,Sepahijala,Sepahijala
Tripura,Tripura,South Tripura,South Tripura
Tripura,Tripura,Unakoti,Unakoti
Tripura,Tripura,West Tripura,West Tripura
Uttar Pradesh,Uttar Pradesh,Agra,Agra
Uttar Pradesh,Uttar Pradesh,Aligarh,Aligarh
Uttar Pradesh,Uttar Pradesh,Allahabad,Prayagraj
Uttar Pradesh,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar
Uttar Pradesh,Uttar Pradesh,Amethi,Amethi
Uttar Pradesh,Uttar Pradesh,Amroha,Amroha
Uttar Pradesh,Uttar Pradesh,Auraiya,Auraiya
Uttar Pradesh,Uttar Pradesh,Ayodhya,Ayodhya
Uttar Pradesh,Uttar Pradesh,Azamgarh,Azamgarh
Uttar Pradesh,Uttar Pradesh,Baghpat,Baghpat
Uttar Pradesh,Uttar Pradesh,Bagpat,Baghpat
Uttar Pradesh,Uttar Pradesh,Bahraich,Bahraich
Uttar Pradesh,Uttar Pradesh,Ballia,Ballia
Uttar Pradesh,Uttar Pradesh,Balrampur,Balrampur
Uttar Pradesh,Uttar Pradesh,Banda,Banda
Uttar Pradesh,Uttar Pradesh,Bara Banki,Barabanki
Uttar Pradesh,Uttar Pradesh,Barabanki,Barabanki
Uttar Pradesh,Uttar Pradesh,Bareilly,Bareilly
Uttar Pradesh,Uttar Pradesh,Basti,Basti
Uttar Pradesh,Uttar Pradesh,Bhadohi,Bhadohi
Uttar Pradesh,Uttar Pradesh,Bijnor,Bijnor
Uttar Pradesh,Uttar Pradesh,Budaun,Budaun
Uttar Pradesh,Uttar Pradesh,Bulandshahar,Bulandshahr
Uttar Pradesh,Uttar Pradesh,Bulandshahr,Bulandshahr
Uttar Pradesh,Uttar Pradesh,Chandauli,Chandauli
Uttar Pradesh,Uttar Pradesh,Chitrakoot,Chitrakoot
Uttar Pradesh,Uttar Pradesh,Deoria,Deoria
Uttar Pradesh,Uttar Pradesh,Etah,Etah
Uttar Pradesh,Uttar Pradesh,Etawah,Etawah
Uttar Pradesh,Uttar Pradesh,Faizabad,Ayodhya
Uttar Pradesh,Uttar Pradesh,Farrukhabad,Farrukhabad
Uttar Pradesh,Uttar Pradesh,Fatehpur,Fatehpur
Uttar Pradesh,Uttar Pradesh,Firozabad,Firozabad
Uttar Pradesh,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar
Uttar Pradesh,Uttar Pradesh,Ghaziabad,Ghaziabad
Uttar Pradesh,Uttar Pradesh,Ghazipur,Ghazipur
Uttar Pradesh,Uttar Pradesh,Gonda,Gonda
Uttar Pradesh,Uttar Pradesh,Gorakhpur,Gorakhpur
Uttar Pradesh,Uttar Pradesh,Hamirpur,Hamirpur
Uttar Pradesh,Uttar Pradesh,Hapur,Hapur
Uttar Pradesh,Uttar Pradesh,Hardoi,Hardoi
Uttar Pradesh,Uttar Pradesh,Hathras,Hathras
Uttar Pradesh,Uttar Pradesh,Jalaun,Jalaun
Uttar Pradesh,Uttar Pradesh,Jaunpur,Jaunpur
Uttar Pradesh,Uttar Pradesh,Jhansi,Jhansi
Uttar Pradesh,Uttar Pradesh,Jyotiba Phule Nagar,Amroha
Uttar Pradesh,Uttar Pradesh,Kannauj,Kannauj
Uttar Pradesh,Uttar Pradesh,Kanpur Dehat,Kanpur Dehat
Uttar Pradesh,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar
Uttar Pradesh,Uttar Pradesh,Kasganj,Kasganj
Uttar Pradesh,Uttar Pradesh,Kaushambi,Kaushambi
Uttar Pradesh,Uttar Pradesh,Kheri,Kheri
Uttar Pradesh,Uttar Pradesh,Kushinagar,Kushinagar
Uttar Pradesh,Uttar Pradesh,Kushinagar *,Kushinagar
Uttar Pradesh,Uttar Pradesh,Lalitpur,Lalitpur
Uttar Pradesh,Uttar Pradesh,Lucknow,Lucknow
Uttar Pradesh,Uttar Pradesh,Maharajganj,Maharajganj
Uttar Pradesh,Uttar Pradesh,Mahoba,Mahoba
Uttar Pradesh,Uttar Pradesh,Mahoba *,Mahoba
Uttar Pradesh,Uttar Pradesh,Mahrajganj,Mahrajganj
Uttar Pradesh,Uttar Pradesh,Mainpuri,Mainpuri
Uttar Pradesh,Uttar Pradesh,Mathura,Mathura
Uttar Pradesh,Uttar Pradesh,Mau,Mau
Uttar Pradesh,Uttar Pradesh,Meerut,Meerut
Uttar Pradesh,Uttar Pradesh,Mirzapur,Mirzapur
Uttar Pradesh,Uttar Pradesh,Moradabad,Moradabad
Uttar Pradesh,Uttar Pradesh,Muzaffarnagar,Muzaffarnagar
Uttar Pradesh,Uttar Pradesh,Pilibhit,Pilibhit
Uttar Pradesh,Uttar Pradesh,Pratapgarh,Pratapgarh
Uttar Pradesh,Uttar Pradesh,Prayagraj,Prayagraj
Uttar Pradesh,Uttar Pradesh,Rae Bareli,Rae Bareli
Uttar Pradesh,Uttar Pradesh,Raebareli,Rae Bareli
Uttar Pradesh,Uttar Pradesh,Rampur,Rampur
Uttar Pradesh,Uttar Pradesh,Saharanpur,Saharanpur
Uttar Pradesh,Uttar Pradesh,Sambhal,Sambhal
Uttar Pradesh,Uttar Pradesh,Sant Kabir Nagar,Sant Kabir Nagar
Uttar Pradesh,Uttar Pradesh,Sant Ravidas Nagar,Bhadohi
Uttar Pradesh,Uttar Pradesh,Sant Ravidas Nagar Bhadohi,Bhadohi
Uttar Pradesh,Uttar Pradesh,Shahjahanpur,Shahjahanpur
Uttar Pradesh,Uttar Pradesh,Shamli,Shamli
Uttar Pradesh,Uttar Pradesh,Shrawasti,Shrawasti
Uttar Pradesh,Uttar Pradesh,Siddharthnagar,Siddharthnagar
Uttar Pradesh,Uttar Pradesh,Sitapur,Sitapur
Uttar Pradesh,Uttar Pradesh,Sonbhadra,Sonbhadra
Uttar Pradesh,Uttar Pradesh,Sultanpur,Sultanpur
Uttar Pradesh,Uttar Pradesh,Unnao,Unnao
Uttar Pradesh,Uttar Pradesh,Varanasi,Varanasi
Uttarakhand,Uttarakhand,Almora,Almora
Uttarakhand,Uttarakhand,Bageshwar,Bageshwar
Uttarakhand,Uttarakhand,Chamoli,Chamoli
Uttarakhand,Uttarakhand,Champawat,Champawat
Uttarakhand,Uttarakhand,Dehradun,Dehradun
Uttarakhand,Uttarakhand,Garhwal,Pauri Garhwal
Uttarakhand,Uttarakhand,Hardwar,Haridwar
Uttarakhand,Uttarakhand,Haridwar,Haridwar
Uttarakhand,Uttarakhand,Nainital,Nainital
Uttarakhand,Uttarakhand,Pauri Garhwal,Pauri Garhwal
Uttarakhand,Uttarakhand,Pithoragarh,Pithoragarh
Uttarakhand,Uttarakhand,Rudraprayag,Rudraprayag
Uttarakhand,Uttarakhand,Tehri Garhwal,Tehri Garhwal
Uttarakhand,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar
Uttarakhand,Uttarakhand,Uttarkashi,Uttarkashi
Uttaranchal,Uttarakhand,Almora,Almora
WEST BENGAL,West  Bengal,HOOGHLY,Hooghly
WEST BENGAL,West  Bengal,HOWRAH,Howrah
WESTBENGAL,West  Bengal,HOOGHLY,Hooghly
West  Bengal,West  Bengal,Hooghly,Hooghly
West Bangal,West  Bengal,Hooghly,Hooghly
West Bangal,West  Bengal,Howrah,Howrah
West Bangal,West  Bengal,South 24 Parganas,South Twenty Four Parganas
West Bengal,West  Bengal,Alipurduar,Alipurduar
West Bengal,West  Bengal,Bally Jagachha,Howrah
West Bengal,West  Bengal,Bankura,Bankura
West Bengal,West  Bengal,Barddhaman,Paschim Bardhaman
West Bengal,West  Bengal,Bardhaman,Purba Bardhaman
West Bengal,West  Bengal,Birbhum,Birbhum
West Bengal,West  Bengal,Burdwan,Purba Bardhaman
West Bengal,West  Bengal,Cooch Behar,Cooch Behar
West Bengal,West  Bengal,Dakshin Dinajpur,Dakshin Dinajpur
West Bengal,West  Bengal,Darjeeling,Darjeeling
West Bengal,West  Bengal,Darjiling,Darjeeling
West Bengal,West  Bengal,Domjur,Howrah
West Bengal,West  Bengal,East Midnapore,Purba Medinipur
West Bengal,West  Bengal,East Midnapur,Purba Medinipur
West Bengal,West  Bengal,Haora,Howrah
West Bengal,West  Bengal,Hawrah,Howrah
West Bengal,West  Bengal,Hooghiy,Hooghly
West Bengal,West  Bengal,Hugli,Hooghly
West Bengal,West  Bengal,Jalpaiguri,Jalpaiguri
West Bengal,West  Bengal,Jhargram,Jhargram
West Bengal,West  Bengal,KOLKATA,Kolkata
West Bengal,West  Bengal,Kalimpong,Kalimpong
West Bengal,West  Bengal,Koch Bihar,Cooch Behar
West Bengal,West  Bengal,MALDA,Malda
West Bengal,West  Bengal,Maldah,Malda
West Bengal,West  Bengal,Medinipur,Paschim Medinipur
West Bengal,West  Bengal,Murshidabad,Murshidabad
West Bengal,West  Bengal,NADIA,Nadia
West Bengal,West  Bengal,North 24 Parganas,North Twenty Four Parganas
West Bengal,West  Bengal,North Dinajpur,Uttar Dinajpur
West Bengal,West  Bengal,North Twenty Four Parganas,North Twenty Four Parganas
West Bengal,West  Bengal,Paschim Bardhaman,Paschim Bardhaman
West Bengal,West  Bengal,Paschim Medinipur,Paschim Medinipur
West Bengal,West  Bengal,Purba Bardhaman,Purba Bardhaman
West Bengal,West  Bengal,Purba Medinipur,Purba Medinipur
West Bengal,West  Bengal,Purulia,Purulia
West Bengal,West  Bengal,Puruliya,Purulia
West Bengal,West  Bengal,South 24 Pargana,South Twenty Four Parganas
West Bengal,West  Bengal,South 24 Parganas,South Twenty Four Parganas
West Bengal,West  Bengal,South Dinajpur,Dakshin Dinajpur
West Bengal,West  Bengal,South DumDum(M),North Twenty Four Parganas
West Bengal,West  Bengal,South Twenty Four Parganas,South Twenty Four Parganas
West Bengal,West  Bengal,Uttar Dinajpur,Uttar Dinajpur
West Bengal,West  Bengal,West Medinipur,Paschim Medinipur
West Bengal,West  Bengal,West Midnapore,Paschim Medinipur
Westbengal,West  Bengal,Howrah,Howrah
andhra pradesh,Andhra Pradesh,chittoor,Chittoor
andhra pradesh,Andhra Pradesh,rangareddi,K.V.Rangareddy
